Concentration
0.1
0.09
0.08
0.07
0.06
0.05
0.04
0.03
0.01
0
0.2
0.18
0.16
0.14
0.12
0.1
0.08
0.06
0.02
0
0.3
0.27
0.24
0.21
0.18
0.15
0.12
0.09
0.03
0
0.4
0.36
0.32
0.28
0.24
0.2
0.16
0.12
0.04
0
0.5
0.45
0.4
0.35
0.3
0.25
0.2
0.15
0.05
0
0.6
0.54
0.48
0.42
0.36
0.3
0.24
0.18
0.06
0
0.7
0.63
0.56
0.49
0.42
0.35
0.28
0.21
0.07
0
0.8
0.72
0.64
0.56
0.48
0.4
0.32
0.24
0.08
0
0.9
0.81
0.72
0.63
0.54
0.45
0.36
0.27
0.09
0
1
0.9
0.8
0.7
0.6
0.5
0.4
0.3
0.1
0
